hu1,hu2,hu3,hu4,hu5,hu6,hu7,H_mean,S_mean,V_mean,label
0.7981349981621306,5.38509607513146,6.902535412320303,11.378197316485148,20.577684628602324,14.164814117534144,-20.82996034988503,20.810451051018763,86.83053599268857,34.65808289876888,circulo
0.7981616201432061,6.875187127233763,6.405936598964943,11.964198269917793,21.181128293192973,15.414141272890854,21.581738858469024,55.56658629696604,58.294986939923646,40.24721719911593,circulo
0.7981189330235021,5.290470495214022,6.480004373748234,10.763266403951237,19.83962917932939,13.637102362445411,-19.413446922235682,8.817028561998928,74.93569080982962,42.15474635239759,circulo
0.7967728034934127,3.7931905349797117,6.98160628058777,9.968398088898198,21.02656389918622,-12.939888751324295,18.44340175420982,11.079150759641605,71.65820802493182,41.371803661862096,circulo
0.7981040386825234,6.343097991914755,5.788467606756584,10.344659026991728,-18.463822794587127,13.70935557593108,-18.74487435283936,48.85468483816013,64.68632367972742,41.76299148211243,circulo
0.7980865329152085,5.51939484053664,5.7852691050459795,11.765723042597331,21.268548427224303,-14.594759621686183,20.548978586413355,39.2150726784557,58.20046576883907,44.74589247434354,circulo
0.7980888748513579,5.495658020090251,5.844198992521931,12.169759535219665,21.265491756745,-15.163989750415073,21.413891644976914,32.43929543931682,57.6525027443936,44.306374121437635,circulo
0.7981189305778502,5.511887743924744,5.972794611395555,10.493188803989598,-19.334260303451337,-13.731956835529552,-18.739799425436544,7.586028485896689,62.94936820495735,49.53612182203909,circulo
0.7608189523030284,3.0950543609258667,2.986467114796867,5.23646745343254,-9.349064701706586,-6.784920543968607,10.490344298159055,33.617872663108464,76.93916061481028,32.27242103421122,corazon
0.7603725041129835,3.0753201464933073,2.983309849528647,5.215200726711588,-9.314942946696869,-6.753234637186987,10.639342495081369,17.437653765376538,78.96218121812181,31.79884488448845,corazon
0.7588260150641704,3.0236542729541895,2.9688100607525225,5.1543411108409245,-9.26458339762336,-6.715085065088429,9.564556978649206,17.047287316188815,63.71286846169341,39.36859598469079,corazon
0.7601229188925774,3.0592355627349335,2.9790334798068936,5.2235584055773945,-9.33092346176161,-6.75586842378793,10.10469636564422,90.61977926507497,81.00656412896583,25.211194414054958,corazon
0.759625501132244,3.036720878511683,2.9739826500176867,5.21741443612364,-9.319413865755667,-6.738428963052053,10.084932131992042,23.000684577918435,101.38425021884049,31.46637712387494,corazon
0.7638953192536653,3.4389430311382156,2.989641806881918,5.58074808201971,10.391080810600055,7.768690075344202,-9.886200180693502,133.9442023334404,29.722479624447608,43.830129822468926,corazon
0.7611750217870605,3.1236410162294868,2.995749291528921,5.242960802311053,-9.362678010430503,-6.804980270742363,10.751423102554154,121.96991938772311,25.856670116997588,46.30242150497162,corazon
0.7722376800136376,2.9373314137012883,3.256978957578342,5.265310899762728,-9.526871804468621,-6.735323783615669,10.885506785382331,59.194244071915996,53.891537874302806,54.976782320132116,corazon
0.7718034474111821,2.9169542284722705,3.2578143399928843,5.239038427224367,-9.487727570553997,-6.697519501036952,-10.946193939230362,74.03843187660668,58.62635950168084,44.51571583943049,corazon
